30390;9
48227;73
53851;25
74218;53
81050;5
82237;33
82403;33
105333;21
116396;25
127361;57
131035;57
134861;57
138228;25
144807;97
164286;89
175322;53
178192;9
194082;41
206646;53
210392;53
212425;61
215932;29
221651;81
225141;97
236757;33
237616;1
238314;49
259594;81
259874;85
263246;81
264650;49
275532;81
278972;57
310818;41
312246;81
319438;77
380134;33
400743;69
411302;41
415323;53
423310;25
457546;81
463748;85
463927;1
472224;69
481231;73
482712;65
483842;37
492266;1
556087;53
559333;57
562105;29
563143;49
581923;81
583324;9
583872;21
584562;45
584990;21
617663;89
643895;49
652294;49
668268;65
672248;9
681107;17
687309;45
695592;65
706420;89
709922;65
724053;77
732331;29
751035;93
768931;53
769353;77
771167;65
783842;77
811057;25
825945;85
837864;57
846593;45
861097;37
865765;81
874802;61
875553;45
879141;93
885287;29
900078;13
903019;69
914579;33
928998;65
931221;37
938607;21
963083;53
993190;61
1002094;9
1012155;13
1024908;49
1039698;1
1063585;97
1068851;69
1138263;1
1143769;73
1159607;69
1174335;89
1187761;61
1222238;65
1228969;45
1236184;17
1237672;25
1252018;65
1264456;73
1265471;37
1271280;45
1288946;45
1296918;29
1312667;81
1328929;53
1360239;5
1372616;81
1393425;33
1404047;37
1410942;13
1424587;25
1431638;81
1432088;77
1440042;1
1479054;5
1493755;69
1494329;9
1498312;85
1565638;41
1588675;49
1606236;69
1607361;25
1615135;5
1627533;25
1627912;21
1651749;29
1658517;29
1660624;45
1665292;45
1682860;21
1696783;65
1700142;13
1703357;5
1710702;21
1711569;53
1713445;25
1729984;73
1730853;45
1749528;89
1763859;69
1782692;25
1784001;13
1785166;37
1794518;65
1798265;89
1803809;21
1808234;93
1822346;49
1824199;81
1825767;9
1841193;33
1852705;37
1857382;65
1861051;69
1861725;53
1868710;29
1872971;13
1880720;45
1913677;9
1913846;57
1918039;85
1961551;85
1963353;49
1964463;89
1973045;21
1976762;61
1984041;17
1989021;45
2010391;13
2010952;81
2017545;37
2019121;29
2023997;77
2040215;97
2042984;37
2044730;5
2045056;29
2049138;97
2079049;77
2084771;13
2089679;57
2097733;81
2103027;13
2123888;81
2134894;61
2135562;49
2143242;85
2157709;45
2187816;97
2218741;57
2232901;21
2239851;61
2245877;93
2247452;57
2250466;41
2260192;81
2276892;65
2277723;29
2280128;45
2281459;81
2295141;5
2296157;13
2319550;13
2321917;37
2333510;73
2353778;77
2356330;65
2358496;77
2358987;65
2361248;21
2363635;61
2370887;33
2373863;1
2375430;73
2396792;85
2404553;57
2415169;45
2431737;97
2439127;77
2446190;33
2459781;21
2482719;61
2483732;49
2495203;81
2514055;81
2520934;53
2555730;5
2563952;5
2565044;93
2573709;25
2578948;97
2582947;21
2583491;25
2586272;77
2590980;5
2594785;73
2599441;37
2607309;9
2633604;41
2634169;89
2638290;21
2651224;17
2657728;45
2667203;97
2670943;37
2673309;45
2683198;1
2690138;33
2744335;33
2764137;37
2764566;65
2775438;33
2776209;41
2789492;37
2805171;81
2836149;65
2850684;29
2861002;29
2878749;13
2881678;89
2913696;77
2922873;49
2931244;69
2952487;89
2969542;45
2977677;17
2988154;57
3004009;85
3010393;29
3024605;49
3038608;77
3059520;21
3074642;25
3086797;89
3093773;49
3098785;25
3139657;73
3155485;97
3177918;5
3192699;65
3205273;21
3212522;61
3217213;97
3232911;9
3247524;29
3249852;57
3287754;65
3295043;53
3296624;73
3303382;61
3320196;1
3320350;97
3330238;5
3330847;93
3331350;73
3341810;65
3343572;17
3345293;73
3358639;1
3358799;49
3372786;53
3374647;89
3383768;45
3389578;1
3393820;13
3403268;33
3433807;57
3457548;61
3471061;5
3474672;41
3480157;57
3487741;49
3494500;69
3496662;41
3508662;17
3510249;5
3511114;81
3513314;29
3522011;57
3529876;93
3536054;77
3537597;1
3551015;25
3565084;97
3567168;45
3574193;45
3576948;21
3577875;81
3584048;41
3593147;93
3624086;49
3632200;13
3632766;17
3638865;65
3644282;89
3646955;93
3648511;53
3650066;1
3663494;81
3671746;57
3674083;9
3683754;33
3683892;69
3687002;9
3717839;41
3745608;77
3753412;33
3758902;73
3758930;69
3765196;89
3770815;5
3778357;37
3794015;21
3801968;53
3810622;25
3823368;41
3839013;9
3843324;29
3880931;89
3904222;33
3906191;1
3918663;81
3926959;1
3945108;17
3952654;21
3955939;17
3968749;85
3972976;21
3975296;5
3978166;5
3980566;81
3991845;25
3992170;65
4020162;1
4024157;57
4033087;89
4033768;33
4050693;29
4070088;73
4106577;77
4114209;49
4117253;17
4128064;41
4137818;9
4142094;61
4147801;33
4156454;85
4157918;9
4168355;49
4169942;77
4178310;25
4194254;69
4205348;65
4212117;37
4215488;97
4222988;41
4235197;69
4237513;61
4242006;49
4250420;73
4256220;9
4262287;73
4266330;41
4279663;89
4289211;49
4291238;89
4302269;13
4303174;89
4306080;49
4314042;69
4321992;53
4325084;53
4325561;49
4329844;33
4345569;97
4350491;97
4364554;25
4367009;89
4370347;33
4383225;85
4387160;85
4389388;81
4396845;25
4406010;85
4409818;53
4411277;53
4413254;17
4413863;21
4431720;61
4470858;93
4493091;81
4494286;5
4495741;61
4509975;85
4517000;97
4519589;45
4521220;65
4526266;73
4531386;5
4534572;53
4544543;41
4551985;53
4555393;33
4568612;29
4594185;53
4597566;53
4606004;33
4609743;65
4634620;81
4636927;89
4656328;85
4670396;85
4677800;37
4703978;45
4705033;37
4715522;41
4733460;25
4750778;1
4752167;49
4753165;25
4753525;77
4762306;33
4770281;13
4773705;69
4778513;93
4780894;13
4784443;29
4787408;29
4789748;81
4791819;13
4800487;53
4801196;49
